yq,hist,lo90,lo66,med,up66,up90
2026 Q4,NA,22938.47635353337,23303.513761913102,23821.05591928494,24277.085169278067,24652.98705875723
2027 Q1,NA,22980.28216016124,23346.847268892645,23926.595497998213,24404.639145369503,24778.474457135846
2027 Q2,NA,22956.586468857855,23378.695381710393,24014.1403470168,24560.177596873837,24989.741522863875
2027 Q3,NA,22983.407274635545,23472.462712325443,24096.98379543423,24697.72840024428,25175.109668086152
2027 Q4,NA,23009.918625047765,23552.53027148995,24208.33805623481,24861.302322219723,25399.869931930996
2028 Q1,NA,23087.846842297633,23625.411183573797,24400.552804302213,25065.475576291108,25533.399520462674
2028 Q2,NA,23103.92686950805,23710.980944271607,24510.900446982563,25243.201206752605,25727.655363179114
2028 Q3,NA,23232.77488360447,23776.182169731925,24652.96818168729,25412.887563953616,26012.150360892498
2028 Q4,NA,23291.797133789227,23869.788079141596,24775.33945383854,25608.370739724218,26272.69763858658
2029 Q1,NA,23330.963077446704,23994.58995672097,24914.332251998603,25796.49887774,26495.253094162115
2029 Q2,NA,23383.391836991847,24147.30137669602,25072.241833545908,26010.289047433147,26654.867337904638
2029 Q3,NA,23448.374593604945,24229.68433368511,25226.602993646837,26208.899328857246,26916.2672586303
2029 Q4,NA,23447.822959979152,24330.455894474828,25406.072090654943,26408.850889701644,27193.579282869126
2030 Q1,NA,23475.45713441822,24405.491209579963,25569.235174856367,26638.0534227559,27499.889736399342
2030 Q2,NA,23566.423799100292,24504.686847681754,25700.962485986183,26805.948660020837,27744.63729728208
2030 Q3,NA,23638.517485320823,24614.129487792998,25840.03735093238,27029.650614280043,28029.92913525653
2030 Q4,NA,23783.80173483563,24699.32775054502,25975.373477832116,27185.687268560356,28251.30709025803
2031 Q1,NA,23785.61358480695,24777.0367476964,26136.25347858831,27438.643150601172,28584.024924892663
2031 Q2,NA,23834.055300660846,24821.289251112714,26273.879960597507,27662.52315164271,28720.114575152988
2031 Q3,NA,23909.81983860444,24910.241162657367,26421.19393710864,27858.96805385099,29031.81706399269
2031 Q4,NA,23942.11409863673,24939.59781582413,26591.538297847284,28075.17083859854,29371.949987711207
2032 Q1,NA,24038.097033654543,25026.590499520316,26759.707395564394,28260.92478846825,29604.065762886097
2032 Q2,NA,23946.889283138313,25106.61370199937,26922.56971127636,28489.939659018495,29976.074189705465
2032 Q3,NA,23966.73242965585,25229.267489983216,27064.940276175294,28693.966461469943,30168.007737028285
2032 Q4,NA,23975.141006867634,25277.512973729292,27154.58028646688,28995.617398767405,30460.85810308618
2033 Q1,NA,24014.754049401257,25374.608559555003,27256.008683694025,29268.752369216927,30622.88979516626
2033 Q2,NA,24098.353541466146,25530.762253608802,27368.299311498595,29476.899927932514,31009.30499902939
2033 Q3,NA,24090.69316933455,25555.700027962404,27523.691055261137,29654.403883952993,31302.782450360224
2033 Q4,NA,24007.263765821615,25601.637945203365,27678.852765369862,29933.497332599065,31678.616092073993
2034 Q1,NA,24077.77492243257,25664.643350915292,27866.56873954182,30181.64180727821,31891.46362195422
2034 Q2,NA,23981.601102773788,25700.610964738742,28033.710640216435,30452.670739708607,32396.616949088748
2034 Q3,NA,24010.309596512536,25781.168602224447,28160.716436865117,30606.25140762567,32598.040192466153
2034 Q4,NA,24090.879920026437,25808.415592953028,28327.08698541115,30925.520103869716,32945.12447183741
2035 Q1,NA,24118.941312245122,25878.874627847432,28405.262911608508,31093.247137787053,33211.63094357798
2035 Q2,NA,24146.978873169697,25915.294645354516,28576.750378839522,31378.42509463337,33595.93157835689
