"yq","hist_value","lo90","lo66","median","up66","up90"
2029 Q2,NA,23471.1089072826,24183.2801014978,25134.9641170347,26136.958754259,26885.8543264665
2029 Q3,NA,23577.2308638896,24270.6974475305,25276.3145311673,26349.3392897635,27123.1930047886
2029 Q4,NA,23541.4030235422,24353.6738151732,25443.5609045731,26530.801649944,27377.1637598632
2030 Q1,NA,23590.8600276127,24421.3003570704,25594.9241320626,26743.0838872273,27748.5706948042
2030 Q2,NA,23685.2251561401,24502.3427181878,25755.9856285242,26962.5194834437,27992.8869563889
2030 Q3,NA,23691.2681921984,24595.9056327258,25900.2558500833,27194.2260029177,28263.785107201
2030 Q4,NA,23679.4585989987,24714.8001541311,26039.344515157,27426.2220412579,28533.8846255596
2031 Q1,NA,23792.6901694049,24686.1585399949,26188.501140213,27607.5926383271,28836.42672225
2031 Q2,NA,23784.8721246421,24798.6216422207,26281.1813092966,27832.1928834005,29155.3841209757
2031 Q3,NA,23812.076762938,24884.6055455617,26451.7741746912,28032.8116262894,29459.3027519985
2031 Q4,NA,23810.0504026222,24918.3304781993,26630.2656572917,28345.5663259881,29897.9589843031
2032 Q1,NA,23874.9669950578,24995.4533086021,26774.1425349869,28532.6280424776,30149.2860879059
2032 Q2,NA,23732.4644139065,25060.8238428004,26931.4609235319,28710.9790763752,30344.9444539061
2032 Q3,NA,23790.7829528339,25168.4025539915,27046.2226866192,28906.020696585,30683.184016947
2032 Q4,NA,23817.1602611032,25287.9345921312,27169.3625982388,29057.5663268612,30988.828511826
2033 Q1,NA,23843.7165200944,25351.9103264633,27323.6421249643,29261.5837017583,31177.3296285666
2033 Q2,NA,23770.8840857999,25382.9265996704,27419.3645591638,29521.6416875188,31543.2029899891
2033 Q3,NA,23733.5004892036,25443.7808889214,27621.650786876,29736.3734543122,31794.4833758266
2033 Q4,NA,23689.3098049893,25523.7098500864,27746.3891491761,30020.7848925514,32125.8692008311
2034 Q1,NA,23628.1764752464,25572.0309453377,27850.6063736026,30303.9997648001,32325.6036247554
2034 Q2,NA,23572.0947863097,25654.2545656846,27934.2807077323,30490.6310411833,32691.434886065
2034 Q3,NA,23695.3167130958,25744.7355754394,28118.6224534847,30707.4699463602,33070.4120487901
2034 Q4,NA,23643.9256244847,25790.094467173,28298.2976770004,30863.4952114094,33407.4143041103
2035 Q1,NA,23653.807432745,25819.7079961247,28371.9522928003,31171.8543114997,33679.5997736224
2035 Q2,NA,23554.2434689947,25893.6602183228,28531.9691858432,31403.7775545909,33996.4710976673
